text,id,date
"High on Taste, Great on Diet, Low on price! Get 40% OFF  + 20% OFF on Eat Fit

Order on Zomato and use coupon code: ZOMATO  #EatFit #EatFitCouponCode #ZomatoCode #ZomatoCouponCode https://t.co/uxRGX61hfc https://t.co/uFiPvghALV",1173900964878868480#,Tue Sep 17 10:06:14 +0000 2019
"RT @eatandfit: Si lo que quieres es verte bien y comer lo que tu cuerpo necesita, eat&amp;fit es la solución perfecta, cocinamos para ti y hace…",1173848173795844096#,Tue Sep 17 06:36:28 +0000 2019
"Nutrition For School Children's - Cure the right way | Eat Fit - with Myth Media
https://t.co/CdDLptfG8l
#fitness #diet #nutrition #राष्ट्रीय_आहार",1173843435754680320#,Tue Sep 17 06:17:38 +0000 2019
"@AvinashCKM @BeCureFit And eat https://t.co/BfYjhDkJlj food ;-) 
Me from 110 to 103kgs all because of  https://t.co/VGbvycEgvs",1173805016945217536#,Tue Sep 17 03:44:58 +0000 2019
"Si lo que quieres es verte bien y comer lo que tu cuerpo necesita, eat&amp;fit es la solución perfecta, cocinamos para ti y hacemos entrega de tus alimentos hasta la puerta de tu casa. https://t.co/Ez49W2fIU2",1173766267041275904#,Tue Sep 17 01:11:00 +0000 2019
@D_Diaku Omo na to eat fit remain,1173734567095820289#,Mon Sep 16 23:05:02 +0000 2019
"RT @KeepFitEatFit: Eat Fit || Grilled Chicken Tostadas al Carbon with Grilled Tomatillos and Queso Fresco

https://t.co/0MqdxteoNk

#kfef #…",1173629876798140416#,Mon Sep 16 16:09:02 +0000 2019
"Eat Fit || Grilled Chicken Tostadas al Carbon with Grilled Tomatillos and Queso Fresco

https://t.co/0MqdxteoNk

#kfef #eatfit #tosadas #cheese https://t.co/YO9sEnjogE",1173628124531240960#,Mon Sep 16 16:02:04 +0000 2019
"Eat Fit || This is an awesome breakfast idea from Waitrose !

https://t.co/B89mkjZKsw

#kfef #eatfit #breakfast https://t.co/woZUeP5KHR",1173556389580562434#,Mon Sep 16 11:17:01 +0000 2019
"@BeCureFit It provides pleasure to find non-plastic cutlery, good to see the small carton pack but disappointed as the papad should also been in carton pack instead of plastic. Please mind https://t.co/V45Rp57nHz #eatfit https://t.co/P1Z5hH4O7d",1173507456976203776#,Mon Sep 16 08:02:35 +0000 2019
"@sajithpai @manocha_mandeep @deepigoyal @harshamjty I was ordering from https://t.co/XqC6T5iGo2, already a feature in it. I do a lot of office lunches orders and face major plastic waste scenario with @Zomato  and @swiggy_in  . This feature would be a big helps guys! https://t.co/7a6gLcdkKZ",1173504542236803078#,Mon Sep 16 07:51:00 +0000 2019
"RT @itsback2beauty: Back to Beautiful
 
.
💝Like and Share if you're loving this💝
.
 #eat #fit #instafit #fitgirl #fitness #sports #muscle #…",1173436060233322497#,Mon Sep 16 03:18:52 +0000 2019
"Back to Beautiful
 
.
💝Like and Share if you're loving this💝
.
 #eat #fit #instafit #fitgirl #fitness #sports #muscle #beautyblogger #motivation https://t.co/jkGeagoIM5",1173424454325506048#,Mon Sep 16 02:32:45 +0000 2019
@HaramiParindey @BeCureFit You can use fitcash to buy sports gear from their shop or order a meal from https://t.co/KGqoFFSuk8 or to extend your pack. The trainers are really flexible too. You can tell them exactly what your goal is and they'll help you out. The app motivates you to be healthy overall.,1173414787562135553#,Mon Sep 16 01:54:21 +0000 2019
"@HaramiParindey @BeCureFit Rewarding as in you don't just go and workout. They have something called https://t.co/V5ITWtqZNe and https://t.co/KGqoFFSuk8 and so many other things. The app tracks your sleep, the number of steps you take, etc. You can even earn fitcash for each workout that you do (contd)",1173414126313304064#,Mon Sep 16 01:51:43 +0000 2019
"Soo #hungry!

#ambition, #beast, #beastmode, #bjj, #brazilianjiujitsu, #determination, #eat, #fit, @fitbodapp, #fitness, #food, #goals, #gym, #gymlife, #man, #muscle, planetfitness, #power, #powerlifting, #strength,… https://t.co/3eNCCNyagd",1173409837818011648#,Mon Sep 16 01:34:40 +0000 2019
"No lo pienses más y únete a eat&amp;fit y empieza a disfrutar de nuestros excelentes platillos, te dejamos un poquito de nuestras ensaladas. https://t.co/wAjpujsAGe",1173404130703896576#,Mon Sep 16 01:12:00 +0000 2019
"RT @CopThatCooks: Passer by saves Felix the Cat after she fell in at London's Royal Docks.

Obviously cat shows zero gratitude 😁 https://t.…",1173345342907195392#,Sun Sep 15 21:18:24 +0000 2019
"Modere Laundry Powder And Fabric Softener – Amazing Unexpected Bonus! https://t.co/dMBToqawc9
.
💝Like and Share if you're loving this💝
.
#freedom #getwellsoon #livefree #cleanfood #eatwell #lovely #eat #fit #instafit #fitgirl https://t.co/36zJK0B2JQ",1173267750501801985#,Sun Sep 15 16:10:04 +0000 2019
"Eat Fit || Greek Grilled Vegetable Bowls

 https://t.co/gPjwnEF6sx

#kfef #eatfit #greek #food https://t.co/kGUxqtNQKl",1173265725445812224#,Sun Sep 15 16:02:01 +0000 2019
"Back to Beautiful
 
.
💝Like and Share if you're loving this💝
.
 #eat #fit #instafit #fitgirl #fitness #sports #muscle #beautyblogger #motivation https://t.co/WvrNH1uEDo",1173248360507068416#,Sun Sep 15 14:53:01 +0000 2019
"Eat Fit|| 35 Quick and Healthy Low-Calorie Lunches

https://t.co/WFur35gYwg

#kfef #keepfit #eatfit #lunches https://t.co/tk9y8q5loq",1173194001463369733#,Sun Sep 15 11:17:01 +0000 2019
RT @krishnasinghani: Outside https://t.co/GfP2RHqMLd Nagawara; @BBMPCOMM  and over that @Zomato gives them excellent hygiene rating; @fssai…,1173134944589082626#,Sun Sep 15 07:22:21 +0000 2019
