text,id,date
@MeetUunngLee @sailorsmoon @swiggy_in Kudos @swiggy_in,1174010029596217344#,Tue Sep 17 17:19:37 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174009959228395520#,Tue Sep 17 17:19:20 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174009952039395328#,Tue Sep 17 17:19:19 +0000 2019
@MeetUunngLee @sailorsmoon @swiggy_in This is ❤️❤️❤️,1174009723428823041#,Tue Sep 17 17:18:24 +0000 2019
@vinayakaggrawal @swiggy_in Mine was marked canceled. Seems like the delivery executives have found a mechanism to bully customers.,1174009638028627968#,Tue Sep 17 17:18:04 +0000 2019
RT @Deepakkhemani8: @TEAMCAIT @praveendel @sumitagarwal_82 @PiyushGoyal @DIPPGOI @NeerajAnand19 @paragjammu @VIPINAHUJA18 Now even swiggy a…,1174009617413738497#,Tue Sep 17 17:17:59 +0000 2019
@SwiggyCares Hi I ordered food at 1.53pm through swiggy in the bowl company when I ordered it’s shows delivery time as 30 min but when I check the status at 2.15pm it’s showing 32min so I just asked to cancel the order even deliver person not reached to restaurant,1174009430880313344#,Tue Sep 17 17:17:15 +0000 2019
@vinayakaggrawal @swiggy_in The delivery executive did the same thing to me. Swiggy has still not resolved this issue. This is really pathetic.,1174009413763395586#,Tue Sep 17 17:17:10 +0000 2019
"May be introduce #special packages such as

INR 500,000/day per city.
INR 200,000/day per town #Discounts on #monthly #subscription! 

#swiggy #Zomato #ubereats",1174009318707851266#,Tue Sep 17 17:16:48 +0000 2019
"RT @rama_rajeswari: Ability is greater than disability. 
@swiggy_in great job👍🏼👍🏼 https://t.co/xn3rVYUQ9f",1174009206271143937#,Tue Sep 17 17:16:21 +0000 2019
"RT @Jangid: A tight slap on the culture of ""Free"". This is Lucknow. Thank you @swiggy_in for giving equal opportunity to the hard working p…",1174008993972445184#,Tue Sep 17 17:15:30 +0000 2019
3-3 baat order cancel kr dete ho yaar @swiggy_in mazak h Kya,1174008815299125248#,Tue Sep 17 17:14:48 +0000 2019
@swiggy_in @SwiggyCares how egg is costly then chicken? Schezwan Egg fried rice 210 and Schezwan chicken fried rice is 195 what a rate strategy 🙏🏻 please come up with good explanation #swiggy https://t.co/dhpGSyyjuR,1174008804888825857#,Tue Sep 17 17:14:45 +0000 2019
RT @itsthehedgehog: bumped into a classmate who was weeping in the college washroom today. I stayed with her and talked to her till she was…,1174008442089963520#,Tue Sep 17 17:13:19 +0000 2019
"ola cab unte month ki 60k, swiggy delivery boy ki 25k anta month ki....inni chaduvulu chadivi waste kada ra memu🥺😬😬😬",1174008402864852994#,Tue Sep 17 17:13:09 +0000 2019
"RT @Jangid: A tight slap on the culture of ""Free"". This is Lucknow. Thank you @swiggy_in for giving equal opportunity to the hard working p…",1174008370770014208#,Tue Sep 17 17:13:02 +0000 2019
"RT @skycinemas: Location: Lucknow

This proves no matter how hard time hits you, you still smile and say cheers to life! 

A great lesson t…",1174008220722925568#,Tue Sep 17 17:12:26 +0000 2019
"Most delivery people have incentive bonuses for rating. So, when the next swiggy or zomato delivery person asks you to give him 5 stars, do so, unless you have an explicit problem with the delivery. https://t.co/81eqmNsDey",1174007942854537217#,Tue Sep 17 17:11:20 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174007896729780225#,Tue Sep 17 17:11:09 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174007895471640579#,Tue Sep 17 17:11:08 +0000 2019
"Have you ever had to had dosa without chutney and sambar, that's the service given to us by @swiggy_in today. When we complaint about it @SwiggyCares cuts the phone on the face. Swiggy do you really care? 
Have been your fan since ages and today you lost a fan.",1174007850525319169#,Tue Sep 17 17:10:58 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174007843617247232#,Tue Sep 17 17:10:56 +0000 2019
"RT @rama_rajeswari: Ability is greater than disability. 
@swiggy_in great job👍🏼👍🏼 https://t.co/xn3rVYUQ9f",1174007822951964672#,Tue Sep 17 17:10:51 +0000 2019
"RT @Jangid: A tight slap on the culture of ""Free"". This is Lucknow. Thank you @swiggy_in for giving equal opportunity to the hard working p…",1174007741355941888#,Tue Sep 17 17:10:32 +0000 2019
@zomatocare @Zomatoindia @swiggy_in #shamezomato,1174007660577845254#,Tue Sep 17 17:10:12 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174007534295773187#,Tue Sep 17 17:09:42 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174007465962176512#,Tue Sep 17 17:09:26 +0000 2019
"RT @rama_rajeswari: Ability is greater than disability. 
@swiggy_in great job👍🏼👍🏼 https://t.co/xn3rVYUQ9f",1174007443082240001#,Tue Sep 17 17:09:21 +0000 2019
@SwiggyCares @swiggy_in Yes the order was delivered after 60mins eventually with cold rotis .. #poordelivery,1174007402137391104#,Tue Sep 17 17:09:11 +0000 2019
This is just wow @swiggy_in ! https://t.co/iIBEECJQLV,1174007376745127936#,Tue Sep 17 17:09:05 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174007368297795584#,Tue Sep 17 17:09:03 +0000 2019
"RT @manthanrawat1: @SwiggyCares Order Id: 51550253021
Yesterday I ordered a Paneer &amp; Pulao bowl from @tbc_india on @swiggy_in app. They del…",1174007252631441408#,Tue Sep 17 17:08:35 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174007241189421056#,Tue Sep 17 17:08:32 +0000 2019
"Small things do make such a big difference.
Lovely ad by @swiggy_in https://t.co/zqiCNBZtjp",1174007237787836416#,Tue Sep 17 17:08:32 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174007179461963776#,Tue Sep 17 17:08:18 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174007134222073856#,Tue Sep 17 17:08:07 +0000 2019
"RT @Yatins1ngh: @rama_rajeswari @swiggy_in Rema mam this is the tweet i was waiting for today, thanks for it! #motivational",1174007114894733312#,Tue Sep 17 17:08:02 +0000 2019
"RT @SwiggyCares: @rama_rajeswari @swiggy_in All Superheroes are differently-abled.
All differently-abled are Superheroes
On that note, we w…",1174007095399550976#,Tue Sep 17 17:07:58 +0000 2019
"RT @rama_rajeswari: Ability is greater than disability. 
@swiggy_in great job👍🏼👍🏼 https://t.co/xn3rVYUQ9f",1174007071907274752#,Tue Sep 17 17:07:52 +0000 2019
@shibaindia @rishibagree Last week Swiggy Team in Manipal went on strike for a day as their weekly incentive was stopped won’t notice. All they got was an ultimatum: work or leave. Reminded me of those Heydays of BPOs and Call Centres. The BUBBLEs have already started popping.,1174006794105999360#,Tue Sep 17 17:06:46 +0000 2019
"RT @Jangid: A tight slap on the culture of ""Free"". This is Lucknow. Thank you @swiggy_in for giving equal opportunity to the hard working p…",1174006564975337472#,Tue Sep 17 17:05:51 +0000 2019
RT @MeetUunngLee: We never miss a chance to outrage against the brands at any given point for the slightest of mistakes. But @swiggy_in des…,1174006543840268289#,Tue Sep 17 17:05:46 +0000 2019
"Ability is greater than disability. 
@swiggy_in great job👍🏼 https://t.co/r71Z2NzWZF",1174006479893827584#,Tue Sep 17 17:05:31 +0000 2019
